years,rating,gender
3,1,Male
6,4,Male
2,4,Male
3,4,Male
5,5,Male
5,4,Male
2,3,Male
3,4,Male
2,4,Female
1,3,Female
1,3,Male
2,4,Male
2,4,Female
2,2,Male
2,4,Male
5,4,Male
6,4,Female
1,4,Male
4,3,Male
3,3,Male
6,4,Male
3,3,Male
3,3,Male
3,3,Female
1,3,Male
1,1,Male
3,4,Male
5,2,Male
3,4,Male
1,4,Female
3,2,Female
1,3,Male
2,3,Male
2,3,Male
3,3,Male
4,2,Female
1,3,Female
1,3,Female
3,3,Female
2,2,Female
3,2,Female
5,4,Male
5,4,Male
2,5,Female
2,3,Female
2,3,Female
2,2,Female
3,3,Male
10,3,Female
10,4,Male
1,3,Male
5,4,Male
6,4,Male
1,3,Female
2,4,Female
2,3,Male
1,4,Male
4,3,Male
2,3,Male
5,4,Male
3,2,Female
2,4,Male
3,3,Female
10,3,Female
7,4,Female
2,4,Female
5,4,Male
1,3,Male
10,4,Male
2,4,Male
2,2,Female
3,3,Male
2,3,Male
3,4,Female
11,4,Male
2,2,Female
4,5,Male
5,4,Female
3,3,Male
5,3,Male
4,4,Male
1,3,Female
5,3,Female
6,3,Female
7,4,Male
2,3,Female
5,3,Female
0,2,Female
5,4,Female
3,3,Female
5,2,Female
4,2,Female
5,3,Female
4,3,Male
4,2,Female
3,3,Male
3,4,Female
3,3,Female
1,2,Female
6,3,Female
4,3,Male
3,4,Female
3,4,Male
4,4,Male
4,3,Female
1,3,Female
0,2,Female
0,3,Female
0,3,Male
3,5,Male
1,3,Female
3,4,Male
0,3,Male
3,3,Male
2,4,Male
3,3,Female
6,4,Male
7,5,Male
2,3,Female
2,3,Male
3,4,Male
3,3,Male
2,3,Male
5,5,Male
0,3,Male
3,5,Male
10,4,Male
4,4,Male
5,5,Male
2,3,Male
2,3,Male
4,3,Female
4,3,Male
6,4,Male
5,2,Male
1,3,Male
3,4,Male
4,5,Male
8,5,Male
2,2,Female
5,5,Male
3,3,Male
11,4,Male
6,4,Male
3,3,Male
6,4,Male
3,1,Female
8,3,Male
4,5,Male
3,4,Male
2,1,Female
5,4,Male
4,4,Male
2,4,Male
8,2,Male
2,3,Female
3,3,Female
6,5,Male
3,3,Male
2,2,Male
4,3,Male
4,4,Male
2,4,Male
3,1,Female
7,3,Male
1,4,Male
0,4,Male
6,2,Male
4,3,Male
2,1,Female
3,1,Female
