Graduation Year,Concentration (or best guess),Prior CS background:,What gender do you identify with
2016,History and Literature,Never taken CS at Harvard,Male
2016,HEB,Never taken CS at Harvard,Female
2017,heb,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Male
2017,Social Studies,Never taken CS at Harvard,Female
2017,Molecular and Cellular Biology,Never taken CS at Harvard,Female
2018,Come lit,Never taken CS at Harvard,Female
2016,HDRB,Never taken CS at Harvard,Female
2016,History,Never taken CS at Harvard,Male
2018,Economics,Never taken CS at Harvard,Female
2018,HDRB,Never taken CS at Harvard,Female
2018,Chemistry,Never taken CS at Harvard,Female
2018,Government ,Never taken CS at Harvard,Female
2017,Psychology,Never taken CS at Harvard,Female
2017,Mathematics,Never taken CS at Harvard,Male
2018,Economics,Never taken CS at Harvard,Male
2016,Economics,Never taken CS at Harvard,Female
2016,History and Science,Never taken CS at Harvard,Female
2017,HEB,Never taken CS at Harvard,Female
2016,Psychology,Never taken CS at Harvard,Female
2018,Government ,Never taken CS at Harvard,Female
2017,HDRB,Never taken CS at Harvard,Male
2018,Heb,Never taken CS at Harvard,Female
2016,OEB,Never taken CS at Harvard,Female
2016,Sociology,Never taken CS at Harvard,Female
2016,Human Developmental and Regenerative Biology,Never taken CS at Harvard,Female
2018,Environmental Science and Public Policy,Never taken CS at Harvard,Male
2018,Government,Never taken CS at Harvard,Male
2018,Government,Never taken CS at Harvard,Male
2018,History of Science,Never taken CS at Harvard,Female
2017,Economics,Never taken CS at Harvard,Male
2016,Economics,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Male
2017,ESPP,Never taken CS at Harvard,Female
2017,MCB,Never taken CS at Harvard,Female
2018,History of Art and Architecture/Social Anthropology,Never taken CS at Harvard,Male
2017,Astrophysics+physics joint,Never taken CS at Harvard,Male
2017,History of Science,Never taken CS at Harvard,Female
2017,Economics,Never taken CS at Harvard,Male
2018,Math/Physics,Never taken CS at Harvard,Male
2018,Philosophy,Never taken CS at Harvard,Female
2017,History,Never taken CS at Harvard,Female
2016,hdRb,Never taken CS at Harvard,Female
2018,"Theater, Dance, and Media",Never taken CS at Harvard,Female
2018,HDRB,Never taken CS at Harvard,Female
2016,Social Anthropology,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2018,Social Studies,Never taken CS at Harvard,Female
2018,economics,Never taken CS at Harvard,Female
2018,Social Anthropology,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Female
2018,Statistics,Never taken CS at Harvard,Male
2018,Math and Physics,Never taken CS at Harvard,Male
2017,Integrative Biology,Never taken CS at Harvard,Female
2016,Economics,Never taken CS at Harvard,Male
2017,English,Never taken CS at Harvard,Female
2016,Economics,Never taken CS at Harvard,Female
207,Social Studies,Never taken CS at Harvard,Male
2018,Astrophysics and Mathematics,Never taken CS at Harvard,Female
2017,History,Never taken CS at Harvard,Female
2017,MCB,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Male
2018,History and WGS,Never taken CS at Harvard,Female
2016,History,Never taken CS at Harvard,Female
2018,History of Science,Never taken CS at Harvard,None
2018,Applied math,Never taken CS at Harvard,Female
2018,Chemical and Physical Biology,Never taken CS at Harvard,Male
2017,Environmental Science and Public Policy,Never taken CS at Harvard,Female
2018,East Asian Studies,Never taken CS at Harvard,Female
2017,Government,Never taken CS at Harvard,Female
2018,History & Literature,Never taken CS at Harvard,Female
2016,Economics,Never taken CS at Harvard,Female
2018,CPB,Never taken CS at Harvard,Male
2018,Folklore & Mythology,Never taken CS at Harvard,Female
2017,Computer Science,Never taken CS at Harvard,Male
2019,Environmental Engineering,Never taken CS at Harvard,Female
2016,History and Literature,Never taken CS at Harvard,Male
2019,Molecular and Cellular Biology,Never taken CS at Harvard,Female
2019,Cs/applied math,Never taken CS at Harvard,Male
2019,Electrical Engineering,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Female
2019,Mechanical Engineering,Never taken CS at Harvard,Female
2017,Chemistry,Never taken CS at Harvard,Male
2017,Government,Never taken CS at Harvard,Male
2019,Engineering,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2016,Psychology,Never taken CS at Harvard,Female
2017,Sociopog,Never taken CS at Harvard,Female
2018,Environmental Science Engineering,Never taken CS at Harvard,Male
2018,Linguistics,Never taken CS at Harvard,Male
2017,East Asian Studies,Never taken CS at Harvard,Female
2018,VES,Never taken CS at Harvard,Female
2017,Human Developmental and Regenerative Biology,Never taken CS at Harvard,Female
2019,Math,Never taken CS at Harvard,Male
2019,CPB,Never taken CS at Harvard,Female
2017,Math and Philosophy,Never taken CS at Harvard,Male
