Prior CS background:,What gender do you identify with,What race(s) do you identify with?
"Taken at least one CS class, and intending to concentrate in CS",Male,Asian
Never taken CS at Harvard,Male,Latino
Never taken CS at Harvard,Female,Caucasian
Never taken CS at Harvard,Female,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",Male,Asian
Never taken CS at Harvard,Male,Asian
Never taken CS at Harvard,Female,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Male,Asian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Asian
Never taken CS at Harvard,Female,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Caucasian
Never taken CS at Harvard,Female,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",Male,Asian
Never taken CS at Harvard,Female,Caucasian
Never taken CS at Harvard,Male,"Asian, Caucasian"
Never taken CS at Harvard,Female,Asian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Caucasian
Never taken CS at Harvard,Female,"Black or African American, Caucasian"
Never taken CS at Harvard,Female,Caucasian
Never taken CS at Harvard,Female,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Male,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Male,Caucasian
Never taken CS at Harvard,Female,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Female,African
Never taken CS at Harvard,Male,Asian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",Male,Caucasian
Never taken CS at Harvard,Male,Asian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Asian
Never taken CS at Harvard,Female,Asian
"Taken at least one CS class, and not intending to concentrate in CS",Male,Asian
Never taken CS at Harvard,Female,Asian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",Female,Caucasian
Never taken CS at Harvard,Female,Caucasian
Never taken CS at Harvard,Female,Asian
"Taken at least one CS class, and intending to concentrate in CS",Male,Caucasian
Never taken CS at Harvard,Female,
