Timestamp,Graduation Year,Concentration (or best guess),Prior CS background:,"Have you ever considered taking a computer science course? If not, why not? If you have considered it, why did you decide not to take it?","If not, why not?","If you have considered taking a CS class, why did you decide not to take it?",Do you have plans to take any CS courses in the future?,Are you interested in getting a:,"In your opinion, should some programming knowledge be a requirement for graduation? If not, why not? If so, why?",Are you interested in pursuing a job with a quantitative focus after graduation?,What three words describe a computer science concentrator?,What made you decide to take your first CS course?,"Were there previous semesters in which you thought about taking a CS course but did not? If so, what stopped you from taking it before?",What were your impressions of the CS DEPARTMENT before you took your first class? After?,What were your impressions of CS students before you took your first class? After?,What was the best part of taking your first CS class?,What was the worst part of taking your first CS class?,"Do you think you‰Ûªll take another CS class? If so, why? If not, why not?",What three words would you use to describe a computer scientist concentrator?,Are you a CS Concentrator?,What CS classes have you taken?,How many years have you been programming?,What age did you start?,"Compared to others in your CS classes, you find your classes:",How good are you at programming compared to others in the CS classes you've taken?,How often do you go to office hours on average for your CS classes?,,How often do you think the average CS student goes to office hours?,How accessible is help in your CS classes?,How often do you interact with your CS professors outside of class?,How often do you interact with your CS class course staff?,"For a CS class with lectures twice a week, you attend lectures on average:","For a CS class with lectures twice a week, the average student attends lectures:",How involved do you feel with the CS community at Harvard?,"Do you consider yourself a member of any tech student organizations on campus? If yes, specify which ones.",How easy is it to find partners to work with on psets or final projects?,Are there any specific classes in which finding partners has been hard?,How have you met people to work on class material with?,What will you most likely pursue after graduation?,"If you are a sophomore, junior, or senior, what did you do last summer?",How stressful is the process of finding a summer internship/ job?,What three words would you use to describe a computer science concentrator?,What gender do you identify with,"By your estimates, is there a gender gap in enrollment in CS classes?","If yes, what factors (related or unrelated to college) do you think cause this gap?","If yes, what is the impact of this gender gap on your experience of CS at Harvard? ","Do you have a role model and/or mentor in CS? If so, who? ",I like CS because I am interested in the CS problems I get to think about and solve.,"Do you feel you have a mentor in CS? If so, who?","Who would you ask for CS help, if anyone?",I like CS because it gives me a tool to make a difference in other areas I care about.,I like CS primarily for some other reason:,How good are you at CS theory compared to others in the CS classes you've taken?,Secondary (if applicable),What subfield in tech industry would you be interested in working in?,What subfield in tech industry would you be interested in working in?,What will you most likely pursue after graduation?,What type of graduate school are you interested in?,What is your estimated concentration GPA?,What race(s) do you identify with?,How accessible are professors in your CS classes?,How accessible are teaching fellows in your CS classes?,Do you feel like you need more support in CS from:,,"Do you have a role model and/or mentor in CS? If so, who? ",Do you feel like you get the support you need for CS in terms of:,What subfield in tech industry would you be interested in working in?,,Are you a CS concentrator or intending to be a CS concentrator? ,Any comments on the accessibility of help?,How often do you interact with your professors?.
10/16/2015 15:44:52,2016,History and Literature,Never taken CS at Harvard,No because I have seen many of my friends suffer through CS 50 and do not want to go through the same thing.,,,No,None of the above,"I don't think it should be because some students will not need it for their future jobs. If anything, they should know basic computer skills‰ÛÓhow to use powerpoint, excel, and other fundamentals of computers.",No,"passionate, focused, overworked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,I do not know enough to give an opinion on this. ,I have not been impacted negatively or positively by this.,,,,,,,,Government,,,,,,Latino,,,,,,,,,,,
10/16/2015 15:47:23,2016,HEB,Never taken CS at Harvard,I'm interested in it but don't have time to dedicate to the intro class and its ridiculous psets,,,No,None of the above,Yes. The most marketable skills would be ideal.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,The industry is predominantly male--what about our teaching staff? I'm guessing it's primarily male as well.,I see my roommates have to struggle for jobs a little bit more. ,,,,,,,,GHHP,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 15:47:32,2017,heb,Never taken CS at Harvard,"no, not enough time and a lot of work for something i can learn later if i need",,,No,None of the above,no; it's not applicable to everyone and we don't need more geneds,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"enrollment, cs culture and staff",none,,,,,,,,VES,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 15:53:05,2016,Government,Never taken CS at Harvard,I thought about taking CS50 because it seems like something that is going to continue to be more and more useful. I didn't end up taking it because it seems so time consuming and people pull all nighters doing the problem sets. ,,,No,None of the above,I think maybe some basic programming knowledge should be because it will be so important in the future. ,No,"Sleep-deprived, awkward, smart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,4,The computer game culture is largely male,N/A,,,,,,,,History,,,,,,Asian,,,,,,,,,,,
10/16/2015 15:54:30,2017,Social Studies,Never taken CS at Harvard,"No--CS50 is sold as easy and that anyone can do it, but from the friends I've seen take it, it doesn't seem like that at all",,,No,None of the above,No. It's kind of a dumb requirement. Tech isn't everything.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Fewer women in STEM,Feels less open,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 16:11:26,2017,Molecular and Cellular Biology,Never taken CS at Harvard,"Yes. The workload seems really intense, and it seems like not widely applicable skills to me.",,,No,None of the above,"No, it's not relevant to most jobs.",No,"Innovative, creative, enthusiastic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Females' reduced prior exposure to CS,None as far as I can tell.,,,,,,,,Islamic Studies,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 16:24:32,2018,Come lit,Never taken CS at Harvard,"Yes I have, but it sounds super hard and scary for those of us with no background. The huge class size scares me and I don't know how accessible TFs and professors are. But I would like to learn!",,,Yes,None of the above,"No I don't think so, but it would be cool if there were more intros that weren't as daunting as cs50...",No,"Smart, crazy, techy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"Probably less women encouraged to pursue science, especially in high schools. There were few girls in my high school physics classes and I think the problem starts from there. The media plays into it, too. ",It definitely makes me more nervous to take cs50!,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 16:28:32,2016,HDRB,Never taken CS at Harvard,I considered it but heard the introductory course was really hard.,,,No,None of the above,It should because of the technological environment we all will be working in.,No,"intelligent, hard working, techy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,CS is perceived as a manly concentration.,Less females pursue the concentration.,,,,,,,,GHHP,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 16:29:35,2016,History,Never taken CS at Harvard,"Yes.  I actually enrolled in CS50 and dropped, since it was too much time. ",,,Yes,None of the above,"Interesting question, though I think it shouldn't be a requirement.  This goes against a philosophy of liberal arts education, which Harvard toutes.
",No,"(stereotypes): Smart, literal, awkward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,I'm not sure. ,Not sure. ,,,,,,,,Economics,,,,,,"Asian, Caucasian",,,,,,,,,,,
10/16/2015 16:33:16,2018,Economics,Never taken CS at Harvard,"No - I feel that there's too many prerequisites to take courses that are actually relevant to my concentration, stat 107 being one exception (But i also heard that it's kind of a waste of time) ",,,No,None of the above,i think all grads should know how to do the fancy stuff with excel and maybe some r,Yes,"asian/white, stressed, busy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"previous programming experience - from conversations with my friends, I hear this is their biggest complaint about CS50, that the people who get the most out of it are disproportionately those who already come in with a CS background, and that those who start from scratch are unfairly lured into a concentration that they later may find too hard.
as an extension of that, girls are less likely to have high school/prior programming experience. ",N/A,,,,,,,,GHHP,,,,,,Asian,,,,,,,,,,,
10/16/2015 17:45:26,2018,HDRB,Never taken CS at Harvard,"Yes, because I think computer science is an important life skill, especially for the modern-day. I also enjoy both science and math and have never tried CS (wasn't offered at my high school) so I think it's up my alley.",,,Yes,None of the above,"No, I don't think you should force people who are not interested in STEM to take CS. Those who are interested in it (such as myself) will take it anyways.",Yes,"driven, logical, smart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,social expectations/cultural conditioning,Decisions (often unconscious) that sway women away from STEM fields are made way before Harvard/college. Girls need role models in STEM and students need a supportive environment to learn in. It is really discouraging to be the only woman in your math class. ,,,,,,,,MBB,,,,,,"Black or African American, Caucasian",,,,,,,,,,,
10/16/2015 17:57:41,2018,Chemistry,Never taken CS at Harvard,"Maybe CS50 pass/fail, just to learn how to do it but not stress about getting a good grade",,,Yes,None of the above,"No, I think it goes against the principles of a liberal arts education to require knowledge of any specific thing (like programming)",No,"focused, scientific, quantitative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Lack of female CS rolemodels,"None yet, I haven't taken any CS. I have seen quite a lot of advertisement for ""Women in CS,"" etc.",,,,,,,,French,,,,,,Caucasian,,,,,,,,,,,
