Prior CS background:,PCSB1_words,PCSB3_words,What gender do you identify with,What race(s) do you identify with?
Never taken CS at Harvard,"passionate, focused, overworked",,Male,Latino
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,"Sleep-deprived, awkward, smart",,Male,Asian
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,"Innovative, creative, enthusiastic",,Female,Caucasian
Never taken CS at Harvard,"Smart, crazy, techy ",,Female,Caucasian
Never taken CS at Harvard,"intelligent, hard working, techy",,Female,Caucasian
Never taken CS at Harvard,"(stereotypes): Smart, literal, awkward",,Male,"Asian, Caucasian"
Never taken CS at Harvard,"asian/white, stressed, busy",,Female,Asian
Never taken CS at Harvard,"driven, logical, smart",,Female,"Black or African American, Caucasian"
Never taken CS at Harvard,"focused, scientific, quantitative",,Female,Caucasian
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,"Smart, driven, dedicated",,Female,Caucasian
Never taken CS at Harvard,"money-seeking, lazy, bored",,Male,Asian
Never taken CS at Harvard,Very very patient,,Male,Asian
Never taken CS at Harvard,"nerdy, sometimes condescending to non-CS or non-STEM concentrators, sleep-deprived",,Female,Asian
Never taken CS at Harvard,"brilliant, useful, cool",,Female,Asian
Never taken CS at Harvard,Team no sleep,,Female,Caucasian
Never taken CS at Harvard,"tech-savvy, sleepless, hirable",,Female,Asian
Never taken CS at Harvard,"Busy, focused, dedicated to CS",,Female,
Never taken CS at Harvard,"intelligent, passionate, logical",,Male,Caucasian
Never taken CS at Harvard,Tech savvy robot,,Female,Asian
Never taken CS at Harvard,"Smart, Hardworking, Creative",,Female,"Black or African American, Caucasian"
Never taken CS at Harvard,"determined, logical, nerdy",,Female,Caucasian
Never taken CS at Harvard,"Analytical, logical, rational",,Female,American Indian or Alaskan Native
Never taken CS at Harvard,"Dedicated, Focused, Unhealthy",,Male,Caucasian
Never taken CS at Harvard,"Nerdy, focused, uncreative.",,Male,Latino/Hispanic
Never taken CS at Harvard,"Hardworking, Perceptive, Persistent",,Male,Caucasian
Never taken CS at Harvard,"Driven, focused, ambitious ",,Female,Caucasian
Never taken CS at Harvard,"Hard working, proud, glasses",,Male,Caucasian
Never taken CS at Harvard,"Debugging, Smart, Nerdy",,Female,Asian
Never taken CS at Harvard,,,Male,Biracial
Never taken CS at Harvard,"Hardworking, over-committed, always psetting",,Female,Caucasian
Never taken CS at Harvard,"hard-working, CS50 cult",,Female,Caucasian
Never taken CS at Harvard,,,Male,Caucasian
Never taken CS at Harvard,"Dedicated, chill, analytical",,Male,Asian
Never taken CS at Harvard,"Focused, Driven, Creative",,Female,"Asian, Caucasian"
Never taken CS at Harvard,,,Male,Asian
Never taken CS at Harvard,"creative,analytical,hardworking.",,Male,Black or African American
Never taken CS at Harvard,"Smart, hardworking, boring",,Female,Caucasian
Never taken CS at Harvard,Detail oriented programmer,,Female,Asian
Never taken CS at Harvard,Smart hardworking dedicated,,Female,Caucasian
Never taken CS at Harvard,"interesting, talented, innovative",,Female,Caucasian
Never taken CS at Harvard,can't describe a whole group of diverse people...,,Female,Caucasian
Never taken CS at Harvard,"Geek, practical, dreamer",,Female,Caucasian
Never taken CS at Harvard,"logical, creative, linear",,Male,Hispanic
Never taken CS at Harvard,"techy, logical, precisde",,Female,Caucasian
Never taken CS at Harvard,brilliant coder trendy,,Female,"American Indian or Alaskan Native, Caucasian"
Never taken CS at Harvard,"arrogant, stressed out, tortured",,Female,Caucasian
Never taken CS at Harvard,,,Female,"Caucasian, Latina. Why isn't this on the list?"
Never taken CS at Harvard,"Logical, detail-oriented, diligent.",,Male,Caucasian
Never taken CS at Harvard,Computer science concentrator,,Male,Caucasian
Never taken CS at Harvard,"diligent, focused, fast-learning",,Female,Caucasian
Never taken CS at Harvard,"Start-up, smart, interested",,Male,Caucasian
Never taken CS at Harvard,smart,,Female,"American Indian or Alaskan Native, Caucasian"
Never taken CS at Harvard,,,Female,Asian
Never taken CS at Harvard,"technocrat, quantitative, smart",,Male,none
Never taken CS at Harvard,CS 50,,Female,"Black or African American, Caucasian"
Never taken CS at Harvard,"Nerdy, Shut-In, Pale",,Female,Caucasian
Never taken CS at Harvard,Very very busy.,,Female,Caucasian
Never taken CS at Harvard,technical analytic mathematical,,Male,
Never taken CS at Harvard,"Smart, determined, psets",,Female,Asian
Never taken CS at Harvard,"money, tech, consulting",,Female,Caucasian
Never taken CS at Harvard,,,None,Black or African American
Never taken CS at Harvard,"dedicated, insomniac, computer-ey",,Female,Caucasian
Never taken CS at Harvard,"Quantitative, programmer, efficient",,Male,Asian
Never taken CS at Harvard,"Hard-working, pragmatic, geeky?",,Female,Asian
Never taken CS at Harvard,"Hardy, dedicated, logical",,Female,"Black or African American, Caucasian"
Never taken CS at Harvard,STEM,,Female,Latino
Never taken CS at Harvard,"smart, techy, employable",,Female,Caucasian
Never taken CS at Harvard,"code, night, sleepless",,Female,Asian
Never taken CS at Harvard,Bandwagon,,Male,Asian
Never taken CS at Harvard,"intelligent, hardworking, mathematical",,Female,Caucasian
Never taken CS at Harvard,"Logical, visual, theoretical",,Male,"Asian, Caucasian"
Never taken CS at Harvard,,,Female,Asian
Never taken CS at Harvard,I don't think you can describe any concentration so generally.,,Male,Caucasian
Never taken CS at Harvard,"analytical, creative, problem-solving",,Female,Black or African American
Never taken CS at Harvard,"Dedicated, logical, efficient",,Male,Asian
Never taken CS at Harvard,"Focused, techy, sharp",,Female,Asian
Never taken CS at Harvard,,,Female,
Never taken CS at Harvard,"Focused, determined, creative",,Female,Caucasian
Never taken CS at Harvard,"Sleepless, self-obsessed, employable",,Male,Caucasian
Never taken CS at Harvard,"grueling, (lots of) opportunities, well-paid",,Male,"Asian, Caucasian"
Never taken CS at Harvard,,,Female,Asian
Never taken CS at Harvard,"Intense, Logical, Intelligent",,Male,Caucasian
Never taken CS at Harvard,"coding, smart, loves computers",,Female,Caucasian
Never taken CS at Harvard,"Cool, hard-working, the future (not three words but close enough).",,Female,Biracial
Never taken CS at Harvard,"Technical, Analytical, Logical",,Male,Black or African American
Never taken CS at Harvard,"Driven, analytical, problem-solver",,Male,Caucasian
Never taken CS at Harvard,,,Female,"Black or African American, Caucasian, multiracial"
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,"analytical, focused, creative",,Female,Asian
Never taken CS at Harvard,"smart, technical, intense",,Male,prefer not to answer
Never taken CS at Harvard,"nerdy, smart, intelligent",,Female,Asian
Never taken CS at Harvard,"not a stereotype (runner up is ""computer science concentrator"")",,Male,"Asian, Black or African American"
Never taken CS at Harvard,,,Female,Middle Eastern
Never taken CS at Harvard,startup geeky bad-hygeine,,Male,Asian
Never taken CS at Harvard,"Programmer, busy, dedicated",,Female,Caucasian
Never taken CS at Harvard,"busy, techy, progressive",,Male,"American Indian or Alaskan Native, Black or African American, Caucasian"
Never taken CS at Harvard,"meticulous, marketable, quantitative",,Male,Caucasian
Never taken CS at Harvard,"hard working, quantitative, sleepy",,Male,Asian
Never taken CS at Harvard,"Crazy, genius, sleep-less",,Female,Asian
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,No generalisations,,Prefer not to say,Prefer not to say
Never taken CS at Harvard,Crazy,,Female,Caucasian
Never taken CS at Harvard,"Motivated, optimistic, sleep-deprived",,Female,Asian
Never taken CS at Harvard,"Analytical, logical, creative",,Female,Asian
Never taken CS at Harvard,"Problem solver, persistent, arrogant",,Female,Asian
Never taken CS at Harvard,"creative, theoretical, problem-solving",,Female,Asian
Never taken CS at Harvard,smart,,Female,Asian
Never taken CS at Harvard,"quantitative, logical, tech-y",,Female,Asian
Never taken CS at Harvard,"logical, socially awkward",,Male,Caucasian
Never taken CS at Harvard,Not seen often,,Female,Asian
Never taken CS at Harvard,"Smart, crazy, hard-working",,Female,Caucasian
Never taken CS at Harvard,"analytical, practical, creative",,Female,Caucasian
Never taken CS at Harvard,smart creative technical,,Male,Asian
Never taken CS at Harvard,"Hardcore, technical, focused",,Female,Asian
Never taken CS at Harvard,,,Female,Hispanic
Never taken CS at Harvard,"computer, science, concentrator.",,Male,Caucasian
Never taken CS at Harvard,"Quiet, programmer, less social ",,Female,Caucasian
Never taken CS at Harvard,smart problem solver,,Male,Caucasian
Never taken CS at Harvard,"Smart, focused, overwhelmed",,Female,"Black or African American, Caucasian"
Never taken CS at Harvard,,,Male,Caucasian
Never taken CS at Harvard,"Logical, efficient, organized",,Male,Asian
Never taken CS at Harvard,computer science concentrator,,Female,Asian
Never taken CS at Harvard,"preprofessional, motivated, useful",,Male,Asian
Never taken CS at Harvard,"intelligent, hardworking, stressed",,Female,HIspanic
Never taken CS at Harvard,"problem-solver, detail-oriented, intelligent",,Female,Hispanic
Never taken CS at Harvard,"nerdy, smart, hardworking",,Female,"Caucasian, hispanic"
Never taken CS at Harvard,"Hard-working, smart, special",,Female,"Asian, Caucasian"
Never taken CS at Harvard,"Quantitative, Analytical, Comfortable-with-abstraction",,Male,Hispanic
Never taken CS at Harvard,"smart, creative, weird",,Male,Asian
Never taken CS at Harvard,"Busy, night-owl, ",,Female,Caucasian
Never taken CS at Harvard,"confident, assertive, detail-oriented",,Female,Caucasian
Never taken CS at Harvard,I don't have a CS concentrator stereotype...,,Female,Caucasian
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,"Insomniac, laptop, code",,Female,Caucasian
Never taken CS at Harvard,intelligent detailed patient,,Male,"Caucasian, Hispanic"
Never taken CS at Harvard,"stressed, intelligent, and useful",,Female,Caucasian
Never taken CS at Harvard,"creative, precise, perservering",,Female,Caucasian
Never taken CS at Harvard,"logical, hipster, techie",,Female,Asian
Never taken CS at Harvard,,,Female,Jewish
Never taken CS at Harvard,,,Female,Black or African American
Never taken CS at Harvard,Hard but useful,,Male,"Asian, Caucasian, Native Hawaiian or Pacific Islander"
Never taken CS at Harvard,all the CS concentrators I know are different enough that three words cannot capture who they all are,,Female,Asian
Never taken CS at Harvard,"Intelligent, Passionate, Disciplined",,Male,Asian
Never taken CS at Harvard,,,Female,Prefer not to respond
Never taken CS at Harvard,,,Male,Hispanic or Latino
Never taken CS at Harvard,"Ambitious, smart, driven",,Male,Caucasian
Never taken CS at Harvard,,,Female,Caucasian
Never taken CS at Harvard,,,Female,Asian
Never taken CS at Harvard,"Smart, dedicated, tenacious",,Male,Caucasian
Never taken CS at Harvard,"logical, mathematical, detail",,Female,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Smart, busy, geek",,,Hispanic or Latino
Never taken CS at Harvard,"project-oriented, collaborative, creative",,,Black or African American
Never taken CS at Harvard,Busy for eons,,,Black or African American
Never taken CS at Harvard,"tech-y, start-up-y, innovative",,,Asian
Never taken CS at Harvard,"Nerdy, smart, disciplined",,,Asian
Never taken CS at Harvard,,,,Hispanic or Latino
Never taken CS at Harvard,"Focused, Ambitious, Hardworking",,,"Asian, Caucasian"
Never taken CS at Harvard,"busy, tired, smart",,,Asian
Never taken CS at Harvard,"practical, diverse, focused",,,Asian
Never taken CS at Harvard,"Progressive, engineer, Google",,,Caucasian
Never taken CS at Harvard,many Harvard students,,,Caucasian
Never taken CS at Harvard,,,,Black or African American
Never taken CS at Harvard,focused creative independent ,,,Hispanic or Latino
Never taken CS at Harvard,No I dea,,,Black or African American
Never taken CS at Harvard,"male, entitled, privileged",,,Caucasian
Never taken CS at Harvard,"Obsessive, focused, intense",,,Black or African American
Never taken CS at Harvard,Analytical Dedicated Sleep-Deprived ,,,Caucasian
Never taken CS at Harvard,"Hard-working, tired, studious",,,Black or African American
Never taken CS at Harvard,"Hardworking, dedicated, smart ",,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,"focused, determined, patient",,,"Black or African American, Caucasian, Native Hawaiian or Pacific Islander"
Never taken CS at Harvard,"Tech, Programming, Computers",,,Asian
Never taken CS at Harvard,"Analytical, cutthroat, pompous ",,,Black or African American
Never taken CS at Harvard,"analytical, boring, nerdy",,,Hispanic or Latino
Never taken CS at Harvard,"solitary, diligent, quirky ",,,transracially adopted
Never taken CS at Harvard,Interested in tech,,,Caucasian
Never taken CS at Harvard,"Dumbre than a math concentrator, boring, stupid",,,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,High earning potential,,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Analytical, Cutthroat, Busy",,,Asian
Never taken CS at Harvard,"career-oriented, methodical, stressed",,,Caucasian
Never taken CS at Harvard,"Analytical, creative, tired.",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Smart, busy, dedicated",,,Caucasian
Never taken CS at Harvard,"Intense, focused, creative",,,Caucasian
Never taken CS at Harvard,"diverse, smart, stupid",,,Asian
Never taken CS at Harvard,"tech-y, smart, specific",,,Hispanic or Latino
Never taken CS at Harvard,"Dedicated, nerdy, tired",,,Caucasian
Never taken CS at Harvard,"narrow-focused, quantitative, very smart but not necessarily intellectual",,,Asian
Never taken CS at Harvard,"Hardworking, pset-er, proactive ",,,Hispanic or Latino
Never taken CS at Harvard,Rigid; CS50; computer,,,Caucasian
Never taken CS at Harvard,"Nerdy, quiet, not well-rounded",,,Caucasian
Never taken CS at Harvard,sleep-deprived enthusiast,,,Black or African American
Never taken CS at Harvard,"computer, science, concentrator",,,"Black or African American, Caucasian"
Never taken CS at Harvard,"smart, dedicated, fun",,,Caucasian
Never taken CS at Harvard,"Har-core, nerdy, money-envy",,,Asian
Never taken CS at Harvard,"analytical, smart, driven",,,Asian
Never taken CS at Harvard,"hard-working, smart",,,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"quantitative, careerist, bored",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,,,,Hispanic or Latino
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"money, stressed, focused",,,Caucasian
Never taken CS at Harvard,"Obnoxious, thoughtless, too-practical",,,Caucasian
Never taken CS at Harvard,Computer science concentrator,,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,"intense, foreign, stressful",,,Asian
Never taken CS at Harvard,,,,Hispanic or Latino
Never taken CS at Harvard,"smart, mathy",,,Asian
Never taken CS at Harvard,"tired, logical, nerdy",,,Asian
Never taken CS at Harvard,"math-oriented, problem-solver, creative",,,Asian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,nerdy white male,,,Caucasian
Never taken CS at Harvard,,,,Hispanic or Latino
Never taken CS at Harvard,"Analytical, creative, specialized",,,Asian
Never taken CS at Harvard,cool innovative creative,,,Asian
Never taken CS at Harvard,analytical; nerdy; hardcore,,,"Black or African American, Caucasian"
Never taken CS at Harvard,"modern, smart, technological ",,,Black or African American
Never taken CS at Harvard,Smarter than me,,,Caucasian
Never taken CS at Harvard,,,,Hispanic or Latino
Never taken CS at Harvard,"Self-serving, self-loathing, unsociable",,,Caucasian
Never taken CS at Harvard,"""techie,"" stressed",,,Caucasian
Never taken CS at Harvard,"obnoxious, witty, social",,,Caucasian
Never taken CS at Harvard,"debugging, debugging, debugging",,,Asian
Never taken CS at Harvard,"logical, meticulous, immoral",,,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Knowledgeable, resourceful, funny",,,Asian
Never taken CS at Harvard,"Smart, detailed, busy",,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,"precise, creative, hard-working",,,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"smart, intense, passionate",,,Black or African American
Never taken CS at Harvard,"busy, work, stress ",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"arrogant, trendy, career-focused",,,Caucasian
Never taken CS at Harvard,"Focused, nerdy, (usually) smart ",,,Asian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,"pretty smart, tech savvy, fewer requirements",,,Asian
Never taken CS at Harvard,,,,Black or African American
Never taken CS at Harvard,"Logical, dedicated, bro.",,,Black or African American
Never taken CS at Harvard,"werid,hardworking, busy",,,Caucasian
Never taken CS at Harvard,"Human, Harvard, Student",,,Caucasian
Never taken CS at Harvard,"Technical, efficient, geek",,,Asian
Never taken CS at Harvard,"analytic, programming, dank",,,Asian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,"productive, logical, analytical",,,Asian
Never taken CS at Harvard,Non-existent social life; Intelligent; Dedicated,,,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"dedicated, rational, diligent",,,Asian
Never taken CS at Harvard,"Smart, logical, busy",,,Caucasian
Never taken CS at Harvard,"Nerd, hard-working and hacker",,,Asian
Never taken CS at Harvard,"detail oriented, imaginative, logical",,,Asian
Never taken CS at Harvard,Smart dedicated,,,Asian
Never taken CS at Harvard,"Stressed, Smart, Computer-Savy",,,Caucasian
Never taken CS at Harvard,"cool, CS, intelligent ",,,Asian
Never taken CS at Harvard,"Hard working, nerdy",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,,,,Black or African American
Never taken CS at Harvard,"Resourceful, patient, creative",,,Hispanic or Latino
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,"hardworking, free pizza, employable",,,Caucasian
Never taken CS at Harvard,"Quiet, smart, nerdy",,,Caucasian
Never taken CS at Harvard,Logical Amazing Brain,,,Asian
Never taken CS at Harvard,Smart tenacious ambitious ,,,Black or African American
Never taken CS at Harvard,"Ambitious, limited, proud",,,Caucasian
Never taken CS at Harvard,"Disciplined, organized, intelligent",,,Hispanic or Latino
Never taken CS at Harvard,"Haughty, Clueless, Productive",,,"Asian, Caucasian"
Never taken CS at Harvard,"rude, snobby, funny",,,Caucasian
Never taken CS at Harvard,"Tired, arrogant, hipster",,,Caucasian
Never taken CS at Harvard,"Techy, Smart, Innovative ",,,Black or African American
Never taken CS at Harvard,"Smart, logical, quantitative",,,Caucasian
Never taken CS at Harvard,Always contemplating employment,,,Caucasian
Never taken CS at Harvard,"Reclusive, late on deadlines, esoteric ",,,Caucasian
Never taken CS at Harvard,"dedicated, tough, smart",,,Caucasian
Never taken CS at Harvard,"Driven, motivated, LeBron",,,Caucasian
Never taken CS at Harvard,"Thoughtful, focused, sharp",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Busy, techy, smart",,,Asian
Never taken CS at Harvard,"hardworking, smart, technologically-adept",,,Asian
Never taken CS at Harvard,"Smart, quantitative, driven ",,,Asian
Never taken CS at Harvard,Lacking much sleep,,,Asian
Never taken CS at Harvard,"Qualitative, problem-solving, intelligent",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"""Computer"" ""Science"" ""Concentrator""",,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,Expensive under-informed geek,,,Caucasian
Never taken CS at Harvard,"Logical, nerdy, office hourse (technicially two words?)",,,Hispanic or Latino
Never taken CS at Harvard,"smart, weird, nerdy",,,Caucasian
Never taken CS at Harvard,"Smart, narrow, ",,,Caucasian
Never taken CS at Harvard,"technology, computational, analytical",,,Asian
Never taken CS at Harvard,"Employable, introverted, un-creative",,,Asian
Never taken CS at Harvard,"Stressed, CS50, rich",,,Caucasian
Never taken CS at Harvard,"hard-working, logical, math-y",,,Asian
Never taken CS at Harvard,"intense, tired, smart",,,"Black or African American, Caucasian"
Never taken CS at Harvard,"Exhausted, stressed, proud",,,"Asian, Caucasian"
Never taken CS at Harvard,,,,-
Never taken CS at Harvard,"analytical, smart, creative",,,Caucasian
Never taken CS at Harvard,"driven, ""analysty"", determined",,,"Black or African American, Caucasian"
Never taken CS at Harvard,"male, reserved, hard-working",,,"Asian, Caucasian"
Never taken CS at Harvard,"logical, thorough, techie",,,Caucasian
Never taken CS at Harvard,creative determined technological,,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Dedicated, knowledgeable, team player",,,Asian
Never taken CS at Harvard,Just like Others,,,Asian
Never taken CS at Harvard,"Smart, nerdy, hardcore.",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"job focused, practical",,,Caucasian
Never taken CS at Harvard,"stressed, nerdy (in a good way), glasses",,,Asian
Never taken CS at Harvard,"technical, stressing, dependent",,,Black or African American
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,"Logical, hireable, applied",,,Asian
Never taken CS at Harvard,Depends on the concentrator,,,Caucasian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,,,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,Efficient problem solver,,,Hispanic or Latino
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Geeky, intellectual, disorganized",,,Caucasian
Never taken CS at Harvard,"sleepless, detail-oriented, careerist",,,Caucasian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Patient, nuts, careful",,,Caucasian
Never taken CS at Harvard,"Analytical, innovative, tech-y",,,Asian
